SalePrice,Lot_Area,Gr_Liv_Area,Total_Bsmt_SF,Garage_Area,Year_Built,Year_Remod_Add,Overall_Qual,Overall_Cond,Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,MS_Zoning,Neighborhood,House_Style,Foundation,Exter_Qual,Kitchen_Qual,Bsmt_Qual,Garage_Finish,Lot_Frontage,Mas_Vnr_Area,Garage_Yr_Blt,Pool_QC,Fence,Alley
202538,18425.0,2121.0,154,407,1984,1951,2,4,2,3,8,RL,Gilbert,1Story,PConc,TA,Ex,Gd,RFn,51.040170655266635,158.54628027200488,2001.0,NA,NA,NA
157108,8322.0,2114.0,830,249,2005,1951,8,6,2,3,3,RM,Somerst,1Story,CBlock,TA,TA,TA,Fin,91.53064308665782,154.7952319764958,1990.0,NA,NA,NA
215146,6415.0,1332.0,1025,378,1941,1967,3,2,2,4,4,RL,NridgHt,SLvl,PConc,Gd,TA,Gd,RFn,82.81557478476186,446.05169305723365,,NA,MnPrv,NA
305349,19402.0,603.0,889,189,1957,1966,9,5,0,5,10,RL,Mitchel,2Story,PConc,Ex,TA,TA,Fin,76.19298053597589,195.8647727348983,1933.0,NA,MnPrv,NA
151196,18501.0,1216.0,536,736,2007,1990,5,5,2,2,9,RL,Sawyer,1Story,PConc,Po,Gd,Fa,RFn,96.3386855725293,261.722741044379,1959.0,NA,NA,NA
151197,26465.0,1200.0,273,310,1910,1957,6,5,2,3,3,RL,NAmes,2Story,PConc,TA,Ex,TA,RFn,76.57948810803308,13.58038073992307,1924.0,NA,MnPrv,Grvl
312289,7612.0,1171.0,794,555,2002,1983,3,6,2,3,7,RL,SawyerW,1.5Fin,PConc,TA,Gd,Gd,Fin,74.4699855482388,385.01650934471917,1953.0,NA,NA,NA
225702,9530.0,1151.0,1359,721,1881,1983,9,6,2,3,4,RL,Blmngtn,SLvl,PConc,Gd,Gd,TA,Fin,67.00115687038395,362.5151090376048,1926.0,NA,GdWo,NA
137614,4090.0,1173.0,1502,349,1874,1954,10,8,2,4,13,RM,Blmngtn,2Story,PConc,TA,Gd,Gd,Fin,52.09379629502729,94.03044940621245,1920.0,NA,NA,NA
206287,8643.0,1306.0,1475,556,1917,1993,4,5,2,3,14,RL,NAmes,2Story,PConc,TA,TA,TA,Fin,52.148941114096715,301.29098492486827,1947.0,NA,NA,NA
